Date,Open,High,Low,Adj Close,Volume,ma7,ma21,26ema,12ema,MACD,20sd,upper_band,lower_band,ema,momentum,Fourier,ARIMA,Close,labels
1/4/2010,136.25,136.610001,133.139999,133.899994,7599900,,,,,,,,,,,,,133.899994,
1/5/2010,133.429993,135.479996,131.809998,134.690002,8851900,,,,,,,,,,,,,134.690002,
1/6/2010,134.600006,134.729996,131.649994,132.25,7178800,,,,,,,,,,,,,132.25,
1/7/2010,132.009995,132.320007,128.800003,130,11030200,,,,,,,,,,,,,130,
1/8/2010,130.559998,133.679993,129.029999,133.520004,9830500,,,,,,,,,,,,,133.520004,
1/11/2010,132.619995,132.800003,129.210007,130.309998,8779400,,,,,,,,,,,,,130.309998,
1/12/2010,128.990005,129.820007,126.550003,127.349998,9096300,,,,,,,,,,,,,127.349998,
1/13/2010,127.900002,129.710007,125.75,129.110001,10723200,,,,,,,,,,,,,129.110001,
1/14/2010,129.139999,130.380005,126.400002,127.349998,9774900,,,,,,,,,,,,,127.349998,
1/15/2010,129.179993,129.649994,127.059998,127.139999,15376500,,,,,,,,,,,,,127.139999,
1/19/2010,126.309998,128,124.330002,127.610001,8892600,,,,,,,,,,,,,127.610001,
1/20/2010,127.129997,129.199997,125.080002,125.779999,9074700,,,,,,,,,,,,,125.779999,
1/21/2010,127.260002,128.149994,125,126.620003,9970600,,,,,,,,,,,,,126.620003,
1/22/2010,125.599998,127.669998,120.760002,121.43,11568900,,,,,,,,,,,,,121.43,
1/25/2010,122.099998,122.279999,118.120003,120.309998,12023900,,,,,,,,,,,,,120.309998,
1/26/2010,120.559998,122.980003,119.059998,119.480003,9559000,,,,,,,,,,,,,119.480003,
1/27/2010,121.029999,123.330002,118.800003,122.75,14765300,,,,,,,,,,,,,122.75,
1/28/2010,124.43,127.199997,122.800003,126.029999,27293100,,,,,,,,,,,,,126.029999,
1/29/2010,129.770004,131.850006,124.139999,125.410004,29471300,,,,,,,,,,,,,125.410004,
2/1/2010,123.18,124.860001,113.82,118.870003,37774400,,,,,,,,,,,,,118.870003,
2/2/2010,118.790001,118.980003,114.400002,118.120003,23079700,,,,,,,,,,,,,118.120003,
2/3/2010,117.120003,119.610001,116.559998,119.099998,12405900,,,,,,,,,,,,,119.099998,
2/4/2010,118.639999,120.330002,115.739998,115.940002,12784000,,,,,,,,,,,,,115.940002,
2/5/2010,115.879997,117.650002,114.099998,117.389999,11024800,,,,,,,,,,,,,117.389999,
2/8/2010,119.379997,121,116.559998,116.830002,9890200,,,,,,,,,,,,,116.830002,
2/9/2010,118.199997,119.089996,117,118.029999,9223000,,,,,,,,,,,,,118.029999,
2/10/2010,118,118.610001,116,117.360001,6233200,,,,,,,,,,,,,117.360001,
2/11/2010,117.209999,120.419998,116.5,120.089996,8343500,,,,,,,,,,,,,120.089996,
2/12/2010,118.989998,119.940002,117.5,119.660004,8073500,,,,,,,,,,,,,119.660004,
2/16/2010,120.059998,120.5,117.18,117.529999,8932700,,,,,,,,,,,,,117.529999,
2/17/2010,117.07,117.129997,115.550003,116.309998,8944800,,,,,,,,,,,,,116.309998,
2/18/2010,115.839996,118.510002,114.82,118.080002,9800100,,,,,,,,,,,,,118.080002,
2/19/2010,117.910004,119.089996,117,117.519997,7115600,,,,,,,,,,,,,117.519997,
2/22/2010,117.370003,118.970001,116.18,118.010002,6807300,,,,,,,,,,,,,118.010002,
2/23/2010,118.010002,119.25,116.510002,117.239998,7068200,,,,,,,,,,,,,117.239998,
2/24/2010,117.959999,119.800003,117.150002,119.720001,7389900,,,,,,,,,,,,,119.720001,
2/25/2010,118.169998,118.339996,115.849998,118.199997,9533400,,,,,,,,,,,,,118.199997,
2/26/2010,117.879997,119.43,117,118.400002,5721600,,,,,,,,,,,,,118.400002,
3/1/2010,118.699997,124.660004,117.529999,124.540001,13296500,,,,,,,,,,,,,124.540001,
3/2/2010,125.010002,127.349998,124.800003,125.529999,12097500,,,,,,,,,,,,,125.529999,
3/3/2010,125.400002,126.940002,124.43,125.889999,6440400,,,,,,,,,,,,,125.889999,
3/4/2010,125.980003,128.850006,125.57,128.529999,7509700,,,,,,,,,,,,,128.529999,
3/5/2010,129.130005,129.449997,127.07,128.910004,6769300,,,,,,,,,,,,,128.910004,
3/8/2010,128.300003,130.850006,127.709999,130.110001,5605900,,,,,,,,,,,,,130.110001,
3/9/2010,129.589996,130.809998,127.970001,128.820007,6070800,,,,,,,,,,,,,128.820007,
3/10/2010,129.110001,131.169998,128.479996,130.509995,5625700,,,,,,,,,,,,,130.509995,
3/11/2010,130.449997,133.619995,130.360001,133.580002,7240800,,,,,,,,,,,,,133.580002,
3/12/2010,134.199997,134.199997,131.179993,131.820007,6150800,,,,,,,,,,,,,131.820007,
3/15/2010,131.699997,132,128.630005,131.130005,6329200,,,,,,,,,,,,,131.130005,
3/16/2010,131.240005,132.289993,130.5,131.789993,4132500,,,,,,,,,,,,,131.789993,
3/17/2010,132.410004,132.690002,131.220001,131.339996,4358800,,,,,,,,,,,,,131.339996,
3/18/2010,131.020004,132.850006,130.440002,132.759995,5021300,,,,,,,,,,,,,132.759995,
3/19/2010,133.710007,133.710007,129.660004,130.350006,8905000,,,,,,,,,,,,,130.350006,
3/22/2010,130.199997,130.960007,128.639999,130.470001,5383400,,,,,,,,,,,,,130.470001,
3/23/2010,130.889999,130.940002,128.070007,129.259995,4213100,,,,,,,,,,,,,129.259995,
3/24/2010,128.639999,129.399994,127.199997,128.039993,4696400,,,,,,,,,,,,,128.039993,
3/25/2010,129.139999,136.910004,128.039993,134.729996,16209600,,,,,,,,,,,,,134.729996,
3/26/2010,134.899994,136.990005,133.759995,135.059998,6565700,,,,,,,,,,,,,135.059998,
3/29/2010,135.369995,136.630005,134.330002,135.119995,4626900,,,,,,,,,,,,,135.119995,
3/30/2010,135.740005,138.190002,135.360001,136.580002,6192700,,,,,,,,,,,,,136.580002,
3/31/2010,136,136.800003,134.479996,135.770004,4600600,,,,,,,,,,,,,135.770004,
4/1/2010,135.800003,136.509995,131.179993,131.809998,8785800,,,,,,,,,,,,,131.809998,
4/5/2010,132.850006,133.740005,130.779999,131.490005,5816500,,,,,,,,,,,,,131.490005,
4/6/2010,131.229996,136,131.179993,135.559998,7950300,,,,,,,,,,,,,135.559998,
4/7/2010,135.960007,136.080002,133.860001,134.869995,5945400,,,,,,,,,,,,,134.869995,
4/8/2010,134.710007,141.25,134.710007,140.960007,12689100,,,,,,,,,,,,,140.960007,
4/9/2010,140.720001,141.330002,139.070007,140.059998,6011100,,,,,,,,,,,,,140.059998,
4/12/2010,140,142.910004,139.679993,141.199997,5445300,,,,,,,,,,,,,141.199997,
4/13/2010,141.229996,141.979996,139.119995,140.160004,4785500,,,,,,,,,,,,,140.160004,
4/14/2010,140.339996,144.5,139.199997,144.279999,7900300,,,,,,,,,,,,,144.279999,
4/15/2010,144.550003,147.089996,144,145.820007,7829600,,,,,,,,,,,,,145.820007,
4/16/2010,144.880005,147.169998,141.449997,142.169998,8396800,,,,,,,,,,,,,142.169998,
4/19/2010,142.350006,143.669998,139.130005,142.429993,6022000,,,,,,,,,,,,,142.429993,
4/20/2010,143.830002,144.639999,142.100006,144.199997,4311700,,,,,,,,,,,,,144.199997,
4/21/2010,145.169998,149,143.520004,146.429993,7374400,,,,,,,,,,,,,146.429993,
4/22/2010,147.009995,151.089996,145.880005,150.089996,15165800,,,,,,,,,,,,,150.089996,
4/23/2010,145.380005,149.089996,142.419998,143.630005,18975200,,,,,,,,,,,,,143.630005,
4/26/2010,143.199997,147.729996,142.899994,147.110001,9318300,,,,,,,,,,,,,147.110001,
4/27/2010,145.550003,146.440002,141.110001,142.020004,8639000,,,,,,,,,,,,,142.020004,
4/28/2010,142.589996,142.75,138.690002,139.350006,9235300,,,,,,,,,,,,,139.350006,
4/29/2010,140.089996,142.449997,139.789993,141.729996,6314200,,,,,,,,,,,,,141.729996,
4/30/2010,141.399994,141.399994,136.910004,137.100006,6113500,,,,,,,,,,,,,137.100006,
5/3/2010,137.199997,139.440002,136.110001,137.490005,5654600,,,,,,,,,,,,,137.490005,
5/4/2010,135.619995,135.809998,128.380005,129.830002,12667800,,,,,,,,,,,,,129.830002,
5/5/2010,128,131.610001,127.550003,130.929993,9458100,,,,,,,,,,,,,130.929993,
5/6/2010,130,132.330002,120.599998,128.710007,10189000,,,,,,,,,,,,,128.710007,
5/7/2010,127.970001,131.179993,123.760002,124.980003,11927600,,,,,,,,,,,,,124.980003,
5/10/2010,129.729996,132.210007,129.259995,131.289993,6806100,,,,,,,,,,,,,131.289993,
5/11/2010,129.949997,133.080002,128.470001,130.460007,6044100,,,,,,,,,,,,,130.460007,
5/12/2010,131.410004,134.130005,129.679993,133.869995,5904500,,,,,,,,,,,,,133.869995,
5/13/2010,133.929993,136.990005,131,131.470001,5940200,,,,,,,,,,,,,131.470001,
5/14/2010,130.360001,131,126.760002,128.529999,5277800,,,,,,,,,,,,,128.529999,
5/17/2010,128.240005,129.949997,125.800003,128.910004,5642200,,,,,,,,,,,,,128.910004,
5/18/2010,130.139999,131.25,125.510002,126.279999,5256900,,,,,,,,,,,,,126.279999,
5/19/2010,125.510002,127.93,123.800003,124.589996,6463300,,,,,,,,,,,,,124.589996,
5/20/2010,122.639999,125,118.779999,119.709999,8594400,,,,,,,,,,,,,119.709999,
5/21/2010,117.900002,124.970001,117.519997,122.720001,7966900,,,,,,,,,,,,,122.720001,
5/24/2010,122.57,124.5,120.650002,122.120003,4535900,,,,,,,,,,,,,122.120003,
5/25/2010,118.540001,125.190002,118.5,124.860001,6913400,,,,,,,,,,,,,124.860001,
5/26/2010,125.050003,125.790001,122.300003,123.209999,6964600,,,,,,,,,,,,,123.209999,
5/27/2010,124.980003,126.849998,120.599998,126.699997,4747700,,,,,,,,,,,,,126.699997,
5/28/2010,126.07,127.599998,124.010002,125.459999,3954800,,,,,,,,,,,,,125.459999,
6/1/2010,124.970001,126.57,123.019997,123.239998,3659500,,,,,,,,,,,,,123.239998,
