,Date,Close
5031,8/7/2019,1793.4
5030,8/6/2019,1787.83
5029,8/5/2019,1765.13
5028,8/2/2019,1823.24
5027,8/1/2019,1855.3199
5026,7/31/2019,1866.78
5025,7/30/2019,1898.53
5024,7/29/2019,1912.45
5023,7/26/2019,1943.05
5022,7/25/2019,1973.8199
5021,7/24/2019,2000.8101
5020,7/23/2019,1994.49
5019,7/22/2019,1985.63
5018,7/19/2019,1964.52
5017,7/18/2019,1977.9
5016,7/17/2019,1992.03
5015,7/16/2019,2009.9
5014,7/15/2019,2020.99
5013,7/12/2019,2011
5012,7/11/2019,2001.0699
5011,7/10/2019,2017.41
5010,7/9/2019,1988.3
5009,7/8/2019,1952.3199
5008,7/5/2019,1942.91
5007,7/3/2019,1939
5006,7/2/2019,1934.3101
5005,7/1/2019,1922.1899
5004,6/28/2019,1893.63
5003,6/27/2019,1904.28
5002,6/26/2019,1897.83
5001,6/25/2019,1878.27
5000,6/24/2019,1913.9
4999,6/21/2019,1911.3
4998,6/20/2019,1918.1899
4997,6/19/2019,1908.79
4996,6/18/2019,1901.37
4995,6/17/2019,1886.03
4994,6/14/2019,1869.67
4993,6/13/2019,1870.3
4992,6/12/2019,1855.3199
4991,6/11/2019,1863.7
4990,6/10/2019,1860.63
4989,6/7/2019,1804.03
4988,6/6/2019,1754.36
4987,6/5/2019,1738.5
4986,6/4/2019,1729.5601
4985,6/3/2019,1692.6899
4984,5/31/2019,1775.0699
4983,5/30/2019,1816.3199
4982,5/29/2019,1819.1899
4981,5/28/2019,1836.4301
4980,5/24/2019,1823.28
4979,5/23/2019,1815.48
4978,5/22/2019,1859.6801
4977,5/21/2019,1857.52
4976,5/20/2019,1858.97
4975,5/17/2019,1869
4974,5/16/2019,1907.5699
4973,5/15/2019,1871.15
4972,5/14/2019,1840.12
4971,5/13/2019,1822.6801
4970,5/10/2019,1889.98
4969,5/9/2019,1899.87
4968,5/8/2019,1917.77
4967,5/7/2019,1921
4966,5/6/2019,1950.55
4965,5/3/2019,1962.46
4964,5/2/2019,1900.8199
4963,5/1/2019,1911.52
4962,4/30/2019,1926.52
4961,4/29/2019,1938.4301
4960,4/26/2019,1950.63
4959,4/25/2019,1902.25
4958,4/24/2019,1901.75
4957,4/23/2019,1923.77
4956,4/22/2019,1887.3101
4955,4/18/2019,1861.6899
4954,4/17/2019,1864.8199
4953,4/16/2019,1863.04
4952,4/15/2019,1844.87
4951,4/12/2019,1843.0601
4950,4/11/2019,1844.0699
4949,4/10/2019,1847.33
4948,4/9/2019,1835.84
4947,4/8/2019,1849.86
4946,4/5/2019,1837.28
4945,4/4/2019,1818.86
4944,4/3/2019,1820.7
4943,4/2/2019,1813.98
4942,4/1/2019,1814.1899
4941,3/29/2019,1780.75
4940,3/28/2019,1773.42
4939,3/27/2019,1765.7
4938,3/26/2019,1783.76
4937,3/25/2019,1774.26
4936,3/22/2019,1764.77
4935,3/21/2019,1819.26
4934,3/20/2019,1797.27
4933,3/19/2019,1761.85
4932,3/18/2019,1742.15
4931,3/15/2019,1712.36
4930,3/14/2019,1686.22
4929,3/13/2019,1690.8101
4928,3/12/2019,1673.1
4927,3/11/2019,1670.62
4926,3/8/2019,1620.8
4925,3/7/2019,1625.95
4924,3/6/2019,1668.95
4923,3/5/2019,1692.4301
4922,3/4/2019,1696.17
4921,3/1/2019,1671.73
4920,2/28/2019,1639.83
4919,2/27/2019,1641.09
4918,2/26/2019,1636.4
4917,2/25/2019,1633
4916,2/22/2019,1631.5601
4915,2/21/2019,1619.4399
4914,2/20/2019,1622.1
4913,2/19/2019,1627.58
4912,2/15/2019,1607.95
4911,2/14/2019,1622.65
4910,2/13/2019,1640
4909,2/12/2019,1638.01
4908,2/11/2019,1591
4907,2/8/2019,1588.22
4906,2/7/2019,1614.37
4905,2/6/2019,1640.26
4904,2/5/2019,1658.8101
4903,2/4/2019,1633.3101
4902,2/1/2019,1626.23
4901,1/31/2019,1718.73
4900,1/30/2019,1670.4301
4899,1/29/2019,1593.88
4898,1/28/2019,1637.89
4897,1/25/2019,1670.5699
4896,1/24/2019,1654.9301
4895,1/23/2019,1640.02
4894,1/22/2019,1632.17
4893,1/18/2019,1696.2
4892,1/17/2019,1693.22
4891,1/16/2019,1683.78
4890,1/15/2019,1674.5601
4889,1/14/2019,1617.21
4888,1/11/2019,1640.5601
4887,1/10/2019,1656.22
4886,1/9/2019,1659.42
4885,1/8/2019,1656.58
4884,1/7/2019,1629.51
4883,1/4/2019,1575.39
4882,1/3/2019,1500.28
4881,1/2/2019,1539.13
4880,12/31/2018,1501.97
4879,12/28/2018,1478.02
4878,12/27/2018,1461.64
4877,12/26/2018,1470.9
4876,12/24/2018,1343.96
4875,12/21/2018,1377.45
4874,12/20/2018,1460.83
4873,12/19/2018,1495.08
4872,12/18/2018,1551.48
4871,12/17/2018,1520.91
4870,12/14/2018,1591.91
4869,12/13/2018,1658.38
4868,12/12/2018,1663.54
4867,12/11/2018,1643.24
4866,12/10/2018,1641.03
4865,12/7/2018,1629.13
4864,12/6/2018,1699.1899
4863,12/4/2018,1668.4
4862,12/3/2018,1772.36
4861,11/30/2018,1690.17
4860,11/29/2018,1673.5699
4859,11/28/2018,1677.75
4858,11/27/2018,1581.42
4857,11/26/2018,1581.33
4856,11/23/2018,1502.0601
4855,11/21/2018,1516.73
4854,11/20/2018,1495.46
4853,11/19/2018,1512.29
4852,11/16/2018,1593.41
4851,11/15/2018,1619.4399
4850,11/14/2018,1599.01
4849,11/13/2018,1631.17
4848,11/12/2018,1636.85
4847,11/9/2018,1712.4301
4846,11/8/2018,1754.91
4845,11/7/2018,1755.49
4844,11/6/2018,1642.8101
4843,11/5/2018,1627.8
4842,11/2/2018,1665.53
4841,11/1/2018,1665.53
4840,10/31/2018,1598.01
4839,10/30/2018,1530.42
4838,10/29/2018,1538.88
4837,10/26/2018,1642.8101
4836,10/25/2018,1782.17
4835,10/24/2018,1664.2
4834,10/23/2018,1768.7
4833,10/22/2018,1789.3
4832,10/19/2018,1764.03
4831,10/18/2018,1770.72
4830,10/17/2018,1831.73
4829,10/16/2018,1819.96
4828,10/15/2018,1760.95
4827,10/12/2018,1788.61
4826,10/11/2018,1719.36
4825,10/10/2018,1755.25
4824,10/9/2018,1870.3199
4823,10/8/2018,1864.42
4822,10/5/2018,1889.65
4821,10/4/2018,1909.42
4820,10/3/2018,1952.76
4819,10/2/2018,1971.3101
4818,10/1/2018,2004.36
4817,9/28/2018,2003
4816,9/27/2018,2012.98
4815,9/26/2018,1974.85
4814,9/25/2018,1974.55
4813,9/24/2018,1934.36
4812,9/21/2018,1915.01
4811,9/20/2018,1944.3
4810,9/19/2018,1926.42
4809,9/18/2018,1941.05
4808,9/17/2018,1908.03
4807,9/14/2018,1970.1899
4806,9/13/2018,1989.87
4805,9/12/2018,1990
4804,9/11/2018,1987.15
4803,9/10/2018,1939.01
4802,9/7/2018,1952.0699
4801,9/6/2018,1958.3101
4800,9/5/2018,1994.8199
4799,9/4/2018,2039.51
4798,8/31/2018,2012.71
4797,8/30/2018,2002.38
4796,8/29/2018,1998.1
4795,8/28/2018,1932.8199
